repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
wssfk12138/dsh-wechat-notify,verified_plugin,README documents placing the plugin into the DSH repo and mounting via cordis.patch.example.yml (file:// src/index.ts) then `dsh web --patch ...`; registers a wechat_notify tool. MIT.,Registers a wechat_notify tool so agents push WeChat notifications through a local ClawBot channel.,node --import tsx/esm apps/cli/src/bin.ts web --patch /path/to/cordis.patch.yml,MIT,high,"Shells out to a local ClawBot node CLI to send IM (WeChat) messages; reuses an already-authenticated local channel, no credentials stored but shell + IM access.",communication,"README.md + cordis.patch.example.yml + package.json: file:// mount of src/index.ts and --patch load command, MIT.",2026-08-14
xiaomiba0904/dsh-obsidian-export,verified_plugin,README has `dsh plugin --profile web add /absolute/path/to/dsh-obsidian-export` and package.json declares dsh.bundle.patch -> cordis.patch.yml; six vault tools. MIT.,Exports DSH conversations to an Obsidian vault plus read/search/list/tags/backlinks vault tools and automatic vault discovery.,dsh plugin --profile web add /absolute/path/to/dsh-obsidian-export,MIT,low,"Reads/writes only local Obsidian vault markdown and DSH session files via ctx.fs/ctx.sessionPersistence; no network, API keys, or credentials.",data_tools,"README.md + package.json: dsh plugin add command, dsh.bundle.patch -> cordis.patch.yml, dsh field present; MIT.",2026-08-14
xiaoxiao-svg/delivery-review-dsh-plugin,verified_plugin,README has `dsh plugin --profile web add github:xiaoxiao-svg/delivery-review-dsh-plugin` and package.json declares dsh.bundle.patch -> cordis.patch.yml mounting 8 plugin rows. MIT.,/delivery-review command orchestrating a fixer<->reviewer subagent loop with role/skill registration and a delivery report.,dsh plugin --profile web add github:xiaoxiao-svg/delivery-review-dsh-plugin,MIT,medium,"Orchestrates fixer/reviewer subagents (fixer read/write, reviewer/planner read-only via toolFilter); hooks write/edit/pwsh/bash tools; runs within DSH sandbox; no credentials or network.",automation,"README.md + package.json: dsh plugin add github:... command, dsh.bundle.patch -> cordis.patch.yml (8 rows), dsh field present; MIT.",2026-08-14
xudafa006/dsh-plugin,rejected,"README not found; GitHub API reports the repository is empty (no code, no package.json).",,,Not found,,,uncategorized,README.md/package.json 404; GitHub API contents endpoint: 'This repository is empty.',2026-08-14
zlh12331/deepseek-harness-superagent,rejected,"Fork/copy of the entire DeepSeek Harness monorepo (package.json is @deepseek-ai/dsh-root), marked 'Under development'; not a plugin and no plugin load path.",,,MIT,,,uncategorized,README.md is verbatim upstream DSH README; package.json name @deepseek-ai/dsh-root with workspaces (whole monorepo).,2026-08-14
ZRui-C/openclaw-plugin-dsh,rejected,"OpenClaw plugin (openclaw.plugin.json, 'openclaw' field, openclaw peer dep) that embeds a DSH agent; not a loadable DSH plugin.",,,MIT,,,uncategorized,"package.json: openclaw.plugin.json + openclaw field + peerDependency openclaw; installed via openclaw, not dsh plugin.",2026-08-14
ZTuTZ/dsh-plugins,rejected,"README not found; root contains only .gitignore, docs, and 素材 (assets) — no plugin code, package.json, or mount manifest.",,,Not found,,,uncategorized,"No README/package.json; GitHub API root listing: ['.gitignore', 'docs', '素材'].",2026-08-14
Jack0r/OBS-DShowAudioPlugin,rejected,README not found,,,GPL-2.0,,,uncategorized,"README.md (and .txt/readme.md) returned 404 on HEAD, master and main branches plus all requested variants; repo is an OBS DirectShow audio plugin (C++) unrelated to DSH.",2026-08-14
Totoro-qaq/Cobsidian,verified_plugin,"Native DSH load path documented: `dsh plugin --profile web add .` from the integrations/dsh Cordis bundle, with typed scan/dry-run/prepare/apply/rollback tools; public source, MIT license.","Agent-agnostic workflow that maintains an Obsidian/Markdown vault (search -> dry-run -> review diff -> confirm -> atomic write -> validate), shipped as an Agent Skill plus a native DSH Cordis bundle.",dsh plugin --profile web add .,MIT,low,Local Markdown/Obsidian vault file reads and writes only; plans stored under ~/.dsh/cobsidian; no API keys or tokens stored.,automation,README.md (HEAD) + integrations/dsh bundle; explicit `dsh plugin --profile web add .` and export COBSIDIAN_VAULT; MIT license.,2026-08-14
ccq1/dsh-side-panel,verified_plugin,"Native DSH load path: `dsh plugin --profile web add github:dsh-external/dsh-side-panel`; public source, BSD-3-Clause.","DSH Web right-side workspace panel providing Git review, a file browser, and an in-workspace terminal.",dsh plugin --profile web add github:dsh-external/dsh-side-panel,BSD-3-Clause,high,Runs a terminal that executes shell commands in the current workspace; also file read/edit and Git review; local files only.,web_ui,"README.md (HEAD) with dsh plugin add command, config insert snippet, BSD-3-Clause license.",2026-08-14
william-jin-cmu/dsh-vision,verified_plugin,"Native DSH load path: profile mount via ~/.dsh/config.yaml insert (plus dshx/registry install options); public source, BSD-3-Clause.","Registers a view_image tool that bridges text-only DeepSeek to any OpenAI-compatible VLM endpoint for OCR, counting, chart reading and UI-layout questions.",- insert: - id: dsh-vision  name: '$HOME/dsh-plugins/dsh-vision/lib/index.js'  (in ~/.dsh/config.yaml),BSD-3-Clause,medium,Sends local images (base64-inlined) over the network to a configured OpenAI-compatible VLM endpoint; reads API keys from config/env (default Zhipu GLM free tier).,vision,"README.md (HEAD) with native config.yaml mount, dshx install alternative, config block, BSD-3-Clause license.",2026-08-14
hxs996-beep/deepAct,rejected,Standalone Go CLI/TUI coding agent for the DeepSeek API; not a loadable DSH plugin (no dsh plugin/cordis mount; only 'deepseek-harness' topic added).,,,MIT,,,uncategorized,"README.md (HEAD) inspected: installs via curl/brew/go, own TUI and config (~/.deepact), no dsh plugin or cordis load path.",2026-08-14
LoserFox/dsh-git-identity,verified_plugin,Native DSH profile bundle: `dsh plugin --profile web add /path/to/dsh-git-identity`; package.json declares dsh.bundle.patch -> cordis.patch.yml.,"Injects GIT_AUTHOR_*/GIT_COMMITTER_* environment variables (from gh CLI login, env, or git config) so every DSH git commit uses the environment's author identity.",dsh plugin --profile web add /path/to/dsh-git-identity,Not found,low,"Reads gh CLI login (gh api user) and git config; writes env vars and git config --global; local only, no credentials stored.",developer_tools,README.md (HEAD) + package.json (dsh.bundle.patch -> ./cordis.patch.yml); no license field in package.json.,2026-08-14
omdsh-dev/fabric,verified_plugin,Native DSH bundle: `dsh plugin --profile web add github:dsh-external/fabric`; package.json declares dsh.bundle.patch -> cordis.patch.yml.,Fabric/Mixin load-time transformation layer for DSH (cordis-fabric / cordis-fabric-api / cordis-fabric-dsh packages) enabling mod-style hooks and facades.,dsh plugin --profile web add github:dsh-external/fabric,BSD-3-Clause,medium,Trusted load-time code transformation / mixin hook layer registering trusted handlers; full engagement requires a host patch; no API keys or network.,ecosystem,"README.md (HEAD) + package.json (dsh.bundle.patch -> ./cordis.patch.yml, license BSD-3-Clause).",2026-08-14
whiteguo233/dsh-openbiliclaw,verified_plugin,"Native DSH mount: cordis.patch.yml insert `- id: openbiliclaw name: '@openbiliclaw/dsh-plugin'` in ~/.dsh/profiles/<profile>/cordis.patch.yml; public source, BSD-3-Clause.",DSH Web fourth-column (aside) panel for OpenBiliClaw plus 22 openbiliclaw_* agent tools bridging a local personalized content-recommendation backend.,- id: openbiliclaw  name: '@openbiliclaw/dsh-plugin'  (in ~/.dsh/profiles/<profile>/cordis.patch.yml),BSD-3-Clause,medium,Connects to a local OpenBiliClaw backend over HTTP/WebSocket (default http://127.0.0.1:8420); handles user interest profile and content recommendations; agent can read profile and save content; optional proxy config.,automation,"README.md (HEAD) with cordis.patch.yml mount, tool list, BSD-3-Clause license.",2026-08-14
LoserFox/telegram,verified_plugin,Native DSH profile bundle: `dsh plugin --profile web add <dir|git-url>`; package.json declares dsh.bundle.patch -> cordis.patch.yml.,Telegram Bot API bridge: long-polls Telegram chats into per-chat harness agent sessions with HTML formatting and a user whitelist.,dsh plugin --profile web add <dir|git-url>,BSD-3-Clause,high,Requires a Telegram bot token (DSH_TELEGRAM_TOKEN); outbound network to Telegram Bot API; relays chat messages into agent sessions.,communication,"README.md (HEAD) + package.json (dsh.bundle.patch -> ./cordis.patch.yml, license BSD-3-Clause).",2026-08-14
Sev7een/ds-api-usage,verified_plugin,Native DSH load path: `dsh plugin --profile web add github:Sev7een/ds-api-usage`; package declares dsh.bundle.patch -> cordis.patch.yml.,Adds a Settings -> API Usage page showing DeepSeek account balance and 24h spend/token/request stats as a timeline chart.,dsh plugin --profile web add github:Sev7een/ds-api-usage,MIT,medium,"Calls api.deepseek.com/user/balance via curl reusing the deployment's DEEPSEEK_API_KEY credential; in-memory stats only, no persistence.",diagnostics,"README.md (HEAD) with dsh plugin add command, cordis.patch.yml / dsh.bundle.patch description, MIT license.",2026-08-14
unknowbug/RE-Framework,verified_plugin,Native DSH delivery: `pwsh dsh/scripts/install.ps1` installs 17 ref-* skills to ~/.dsh/skills/ AND injects 5 ref_* tools via ~/.dsh/cordis.patch.yml (home patch) plus a re-framework preset.,Modular reverse-engineering / software-engineering methodology framework: 17 skills + 5 tools + re-framework preset for binary and code reverse engineering and SWE workflows.,pwsh dsh/scripts/install.ps1,Not found,medium,"Guides agents through binary/code analysis and subagent fan-out workflows; local code operations, no API keys; own license file absent (references Anchorlaw v0.17 MIT for the protocol).",developer_tools,README.md (HEAD) with dsh/ subtree install (skills to ~/.dsh/skills/ + tools via ~/.dsh/cordis.patch.yml + preset); no LICENSE file found.,2026-08-14
yjh051108/dsh-super-injector,verified_plugin,Native DSH bundle: `dsh plugin --profile web add github:yjh051108/dsh-super-injector`; package.json declares dsh.bundle.patch -> cordis.patch.yml.,"BepInEx-style runtime mod injector: injects arbitrary local plugin packages into a running DSH web (junction + loader.create), with hot reload, staging, and uninstall tools.",dsh plugin --profile web add github:yjh051108/dsh-super-injector,BSD-3-Clause,high,"Runtime-injects arbitrary local plugin packages (executes their code inside the DSH process), junction-links into node_modules, and registers dev_* shell/loader tools; hot reload and self-reload.",developer_tools,"README.md (HEAD) + package.json (dsh.bundle.patch -> ./cordis.patch.yml, license BSD-3-Clause).",2026-08-14
icodesign/orbis,verified_plugin,,DSH 远程控制移动客户端插件：设备配对 + 端到端加密传输 + 跨设备实时更新（mobile client for DSH remote control）,dsh plugin --profile web add @orbisapp/remote-dsh,Apache-2.0,high,远程设备控制：设备配对、端到端加密网络传输、跨设备实时更新；需与移动设备配对（README 标注 npm 包公测后发布）,remote_device,README: dsh plugin --profile web add @orbisapp/remote-dsh（标注 available once published after public beta）+ @orbisapp/remote-dsh npm 发布流程 + Apache-2.0 LICENSE,2026-08-14
lhh010/dsh-minigames,verified_plugin,,DSH Web UI 右侧小游戏面板：18 款离线 Canvas 小游戏（恐龙跳/俄罗斯方块/坦克大战/扫雷/2048/数独/吃豆人等），可扩展游戏注册表,dsh plugin --profile web add /绝对路径/to/dsh-minigames,BSD-3-Clause,low,纯浏览器端 UI 面板，全部离线游戏零资源文件，仅 localStorage 存最高分；零核心改动，无网络/凭据,web_ui,README: dsh plugin --profile web add /绝对路径/to/dsh-minigames；dsh.plugin.json + cordis.patch.yml 双通道 + dsh.profile.bundles；BSD-3-Clause,2026-08-14
unknowbug/anchorlaw,watchlist,DSH 宿主适配子目录（11 个 anchor-* skills + plugins/anchorlaw-tools.js 注册 4 工具 + preset），但无原生插件加载路径——README 明确 'DSH has no project-level plugin mechanism yet'，工具随 preset 经 pwsh install.ps1 安装；仓库主体是独立代码验证协议/scanner（pip/npm 安装）,Vibe coding 代码验证协议：防御式代码模式扫描 + 测试锚点(@pt/@idk) + 噪声卡；DSH 适配含 11 个 anchor-* skills 与 4 个 anchorlaw_* 工具,,MIT,low,本地静态分析（读源码、扫描防御模式），无网络/凭据；DSH skills 只读注入工具 schema,developer_tools,README 'DeepSeek Harness (DSH) Host Adaptation' 段 + pwsh dsh/scripts/install.ps1 安装 skills 到 .dsh/skills；无 dsh plugin add / bundle 挂载声明；主体为 pip/npm 独立 scanner,2026-08-14
xiaohai-78/Top,rejected,非插件基础设施：dsh-external 生态每日 star 榜单/仪表盘，追踪仓库排名并归档每日快照，不是可加载的 DSH 插件或 skill,dsh-external 插件生态每日 leaderboard：按 star 排名、每日快照归档、语言/主题/趋势分析,,Not found,low,无插件加载面；数据采集经真实浏览器会话 + 账户 SSH 推送（作者侧）,ecosystem,README 为 273 仓库榜单/统计仪表盘，无任何插件安装命令或挂载声明,2026-08-14
Zhenyu98/dsh-context-doctor,verified_plugin,,DSH 上下文注入审计：统计 AGENTS.md 指令链/技能目录/工具 schema/MCP 的 token 成本，检测跨文件重复与 rank shadow 冲突；Web UI 圆环面板 + context_audit 工具,"dsh plugin --profile web add ""github:Zhenyu98/dsh-context-doctor#main""",BSD-3-Clause,low,只读审计：仅 ctx.fs read/stat/list 子集，不写不删不执行审计对象；单文件>256KB 跳过；报告不含完整正文；无网络/凭据,diagnostics,"README: dsh plugin --profile web add ""github:Zhenyu98/dsh-context-doctor#main"" + --dump-config 合成验证；BSD-3-Clause",2026-08-14
Degurechaff57/dsh-openapi,verified_plugin,,安全 OpenAPI 3.x 发现与调用：openapi_list/openapi_describe/openapi_call 三工具，索引配置的 OpenAPI 文档并带凭据/SSRF/响应上限防护,dsh plugin --profile web add github:Degurechaff57/dsh-openapi,MIT,medium,网络 API 调用 + 环境变量凭据（Authorization header）；默认只读 GET/HEAD、禁私网/SSRF、凭据跨域剥离、响应截断,automation,README: dsh plugin --profile web add github:Degurechaff57/dsh-openapi + cordis.patch.yml 配置；MIT LICENSE,2026-08-14
fakechris/dsh-harness-ops,verified_plugin,,DSH 运维工具箱：官方快照 A/B 双槽轮换、web 自愈守护、会话恢复、out-of-band dsh-doctor 自救；含 cordis 插件 dsh-restart-recover 断点续接 + 4 个 skills,git clone https://github.com/dsh-external/dsh-harness-ops.git && cd dsh-harness-ops && bash scripts/install.sh,MIT,high,shell/系统管理：ab.sh 切换 git worktree、构建、kill/重启 web 进程、launchd/systemd 守护；dsh-doctor LLM 深度修复执行 shell 命令；fetch 上游网络,developer_tools,README: git clone + bash scripts/install.sh；install.sh 内 dsh plugin --profile web add . 装 bundle 插件 + 4 skills 复制进 ~/.dsh/skills；MIT,2026-08-14
happyren/dsh-agent-messaging,verified_plugin,,跨会话 agent-to-agent 消息：peer_list/peer_send/peer_inbox 工具，按名寻址另一会话投递消息（steer/followup/context 模式）,npx -p @deepseek-ai/dsh dsh plugin --profile web add github:happyren/dsh-agent-messaging,MIT,medium,本地跨会话消息注入：读 peer 会话元数据、经 Unix domain socket 向其他会话投递消息；仅同机、socket 0600、消息按不受信输入处理；无网络/凭据,communication,README: npx -p @deepseek-ai/dsh dsh plugin --profile web add github:happyren/dsh-agent-messaging + cordis.patch.yml 配置；MIT LICENSE,2026-08-14
HuanLinOTO/dsh-plugin-mineru,verified_plugin,,向模型暴露 MinerU 文档解析工具：PDF/图片/DOCX/PPTX/XLSX → 结构化 Markdown/JSON（mineru_parse_document 等 5 工具 + 设置页）,dsh plugin --profile <profile> add github:huanlinoto/dsh-plugin-mineru,AGPL-3.0,medium,网络：调用 MinerU API（baseURL + MINERU_API_KEY 环境凭据），上传文档解析并异步轮询；需自建 MinerU 实例,data_tools,README: dsh plugin --profile <profile> add github:huanlinoto/dsh-plugin-mineru + cordis.patch.yml；package.json license=AGPL-3.0 + dsh.bundle.patch,2026-08-14
lhh010/dsh-bash-encoding,verified_plugin,,替换 ctx.bash 的 bash 输出编码自动识别：自管 spawn 收集原始字节，检测 UTF-16LE/UTF-8/GBK 并正确解码，修复 WSL/Windows 下 bash 中文乱码,pnpm add -w link:/path/to/dsh-bash-encoding,BSD-3-Clause,high,替换 ctx.bash shell 执行器（自管 spawn 运行任意 shell 命令）；清除 DSH_*/KEY/PASSWORD/SECRET/TOKEN 环境变量；沙箱兼容；无网络/凭据外传,developer_tools,README: cd profiles/web && pnpm add -w link:... + cordis.yml/cordis.patch.yml 替换 bash 条目（insert 挂载）；BSD-3-Clause,2026-08-14
lhh010/dsh-ui-progress,verified_plugin,,DSH Web UI 会话进度条：输入框停靠区常驻进度（todos 真实比例/实时 token 速率/中断橘红态/待办提醒），零核心改动纯 client 插件,pnpm add '@dsh-external/dsh-ui-progress@github:lhh010/dsh-ui-progress#v0.9.1',BSD-3-Clause,low,纯浏览器端 UI 面板，读 useSession/todos 投影渲染，不注入模型可见输入，无网络/凭据/文件访问,web_ui,README: pnpm add '@dsh-external/dsh-ui-progress@github:...#v0.9.1' + package.json dsh.client 元数据 + cordis insert 挂载；BSD-3-Clause,2026-08-14
Nwflower/dsh-chat-import,verified_plugin,,从 Claude Code/Codex/ChatGPT/Cursor/Gemini/Reasonix 导入历史会话为 DSH 可续接会话（import_claude 等 6 工具 + 目录批量导入）,dsh plugin --profile web add -w link:/path/to/dsh-chat-import,MIT,medium,读本地聊天转录（~/.claude/~/.codex/~/.cursor/~/.gemini/~/.reasonix 潜在敏感历史），只读不改源文件；经 sessionPersistence 追加会话；无网络/凭据,data_tools,README: dsh plugin --profile web add -w link:... + dsh.bundle/cordis.patch.yml insert 说明；MIT LICENSE,2026-08-14
omdsh-dev/dsh-data-agent,verified_plugin,README gives native `dsh plugin --profile demo add .` install and package.json declares dsh.bundle.patch + dsh.client; clear SQL/database agent function with license MIT.,数据库 Agent：会话级连接 MySQL/PostgreSQL/SQLite/Oracle/Hive/Impala，自定义 sqlcmd 工具 + data-agent 预设，让 AI 连库写 SQL 并据执行结果实时调优,dsh plugin --profile demo add .,MIT,high,spawn 数据库客户端进程执行任意 SQL/DDL/DML（无 shell 层，argv 数组化 + stdin）；数据库密码明文存浏览器 localStorage，服务端仅内存；审批策略 never 时直接执行,data_tools,"README（快速安装/安全说明/卸载）+ package.json（dsh.bundle.patch, dsh.client, license MIT）",2026-08-14
omdsh-dev/dsh-mygo,verified_plugin,DSH 受管插件层：@deepseek-ai/dsh-mygo Cordis 插件 + mygo-cli + web panel，README 给出 install.sh 装载与 profile patch / file:/link: 预置路径，经 `dsh --profile <p> mygo ...` 运行，MIT 许可。,DSH 受管插件层：插件安装/求解/锁定/启停/替换/恢复、确定性打包（mygo pack|restore|init CLI + web 面板），核心零产品功能,DSH_CHECKOUT=<dsh-checkout> ./install.sh,MIT,medium,管理并装载第三方插件（装载即执行任意代码）；改写 ~/.dsh 与 profile；CLI 含 pack/restore 离线打包,ecosystem,"README（快速开始/命令面/仓库布局）+ packages/cordis/mygo/package.json（@deepseek-ai/cordis peer, MIT）+ LICENSE",2026-08-14
omdsh-dev/plugin-template,verified_plugin,官方风格插件脚手架模板：README/package.json 声明 dsh.bundle.patch → cordis.patch.yml 装载机制，BSD-3-Clause；非功能性插件（private，需复制重命名）。,插件脚手架模板：自包含 ESM Cordis 插件（dsh.bundle.patch + cordis.patch.yml + 打包开发 skills + verify:self-contained），非可直接运行的成品插件,,BSD-3-Clause,low,模板脚手架本身无运行时行为；产物按模板约定经 profile 应用 cordis.patch.yml,ecosystem,README（Profile activation 段展示 dsh.bundle.patch/cordis.patch.yml；Plugin forms；layout）,2026-08-14
shinelon/eyes-for-deepseek,rejected,面向 DeepSeek 模型（非 DeepSeek Harness）的 MCP 视觉工具服务器，README 仅给出 opencode.json MCP 配置，无任何 DSH/Cordis 装载路径。,MCP 视觉工具集（识图/OCR/UI转代码/错误诊断/图表理解/数据可视化/双图对比，SenseNova 后端）,,MIT,medium,需 SENSENOVA_API_KEY 调用第三方视觉 API；本地文件/URL/base64 图片读取,vision,README（opencode.json mcp 配置，未提 DeepSeek Harness/DSH/Cordis）,2026-08-14
Thhoho/reSanity,verified_plugin,skill + DSH 插件双形态：README 给出 .dsh/skills/resanity 安装（/resanity 斜杠命令）与 DSH 插件部署（cordis.patch.yml 插入 id:resanity + dsh plugin add resanity@link），package.json peer @deepseek-ai/cordis，MIT。,散户认知组合管理（查证/避坑/记忆/复盘）：SKILL.md + 插件（skill 注册、锚体检定时提醒、/resanity-check、/resanity-tushare）,"dsh plugin add resanity@link:""$(pwd)""（另在 ~/.dsh/profiles/web/cordis.patch.yml 插入 id: resanity 块）",MIT,medium,读本地 anchors/journal 明文；可选 Tushare token 存 ~/.dsh/resanity/credentials.json(600)；ctx.timer 定时弹系统通知；依赖模型网络搜索,memory_persona,"README（装起来/DSH 插件部署/FAQ）+ package.json（resanity, peer @deepseek-ai/cordis, MIT）",2026-08-14
wangyang10/image-vision,verified_plugin,DSH 插件 dsh-image-vision/（Cordis 插件）+ 标准 skill 双形态；README 给出 `dsh plugin --profile web add dsh-image-vision` 与 symlink + cordis.patch.yml 装载，MIT。,视觉插件/技能：让纯文本模型调 OpenAI 兼容识图 API 看图（描述/问答/OCR/多图对比），DSH 提供 vision_query 工具 + /image-vision 斜杠命令,dsh plugin --profile web add dsh-image-vision,MIT,medium,调第三方识图 API（OpenRouter/SiliconFlow/智谱/Kimi/通义/Ollama），需 VISION_API_KEY/OPENAI_API_KEY；读取本地图片,vision,README（DSH 深度接入/轻量接入/配置）+ dsh-image-vision 子目录说明,2026-08-14
whitelonng/dshcode,watchlist,DSH 的 Electron 桌面伴侣/打包器（把上游 Web UI + 插件运行时打包成 macOS/Windows 应用），非可装载插件；无 dsh plugin add / bundle / cordis.patch 装载路径。,把 DeepSeek Harness Web UI 与插件运行时打包为一键桌面应用（macOS/Windows，内置 Web profile）,,MIT,low,独立桌面壳，本地 HTTP 服务仅绑定 127.0.0.1 临时端口；非 DSH 插件,developer_tools,README（Desktop application/Download/Run，无插件装载路径）,2026-08-14
william-jin-cmu/dsh-stickers,verified_plugin,纯 DSH 外部插件：README 给出 `dsh plugin --profile web add /absolute/path/to/dsh-stickers`，package.json 声明 dsh.bundle.patch + dsh.client，BSD-3-Clause LICENSE。,WebUI 表情插件：用户 🐋 选择器 + /sticker 命令 + Agent send_sticker tool，双向发表情（24 张，双角色）,dsh plugin --profile web add /absolute/path/to/dsh-stickers,BSD-3-Clause,low,纯 WebUI 表情/命令/slot，无权限、无网络、无凭据；自带静态 PNG 资源,fun,"README（本地安装/插件接口）+ package.json（dsh.bundle.patch, dsh.client）+ LICENSE（BSD-3-Clause）",2026-08-14
aiyouyi/UE5-UE4-DShow-Camera-Capture-Plugin,rejected,Unreal Engine 摄像头采集插件（C++），与 DeepSeek Harness 无关（DShow 为 DirectShow，非 DSH）。,UE5/UE4 DShow 摄像头采集组件（GetDeviceList/OpenDevice/CameraPicture）,,MIT,low,本地摄像头采集组件，非 DSH 插件,uncategorized,README（UE5/UE4 DShow Camera Capture Plugin，无 DSH/Cordis 内容）,2026-08-14
AnacondaKC/dsh-stock-market,verified_plugin,DSH 行情插件：README 给出 `dsh plugin --profile web add link:/absolute/path/to/dsh-stock-market`，package.json 声明 dsh.bundle.patch + dsh.client，BSD-3-Clause。,沪深 A 股行情侧栏 + 免费股票数据工具插件（东方财富/腾讯/新浪/同花顺，9 个 stock_* 工具，57 个内部适配器）,dsh plugin --profile web add link:/absolute/path/to/dsh-stock-market,BSD-3-Clause,medium,持续联网抓取公开财经站点免费接口（东方财富/腾讯/新浪/同花顺），不存凭据；请求 Host/参数白名单 + 并发/超时/退避/响应上限,data_tools,"README（安装/接口目录/安全与稳定性）+ package.json（dsh.bundle.patch, dsh.client, license BSD-3-Clause）",2026-08-14
bill9109/dsh-web-ui-notify,verified_plugin,DSH Web UI bundle 插件：README 给出 `dsh plugin --profile web add github:bill9109/dsh-web-ui-notify`，package.json 声明 dsh.bundle + dsh.client，BSD-3-Clause。,桌面通知插件：工具审批/提问/轮次完成时弹系统通知，点击跳转对应会话,dsh plugin --profile web add github:bill9109/dsh-web-ui-notify,BSD-3-Clause,low,纯浏览器系统通知，无权限/网络/凭据；需用户授权浏览器通知权限,web_ui,"README（安装/卸载/使用）+ package.json（dsh.bundle.patch, dsh.client, license BSD-3-Clause）",2026-08-14
coppynight/dsh-doctor,verified_plugin,官方 repository-plugin（.dsh-plugin 格式 + package.json dsh.entry）：README 给出 $DSH_HOME/cordis.patch.yml 的 repository-plugins patch 条目装载，BSD-3-Clause。,flutter-doctor 风格诊断修复插件：/doctor 命令（harness 内）+ 终端 CLI，安装级与 harness 内检查，安全自动修复 settings/凭据,github:coppynight/dsh-doctor#c4683a9eba5102681fd399c3e292a34ef7f3616d&path:/.dsh-plugin（写入 $DSH_HOME/cordis.patch.yml 的 repository-plugins 条目 config.repositories）,BSD-3-Clause,medium,读取 DEEPSEEK_API_KEY 凭据链与 settings；--fix 可写 ~/.dsh/.env(600) 并备份恢复 settings；运行 privilege/所有权/hooks 等安装级检查,diagnostics,README（安装/检查目录/修复边界）+ .dsh-plugin/package.json（dsh.entry: ./index.mjs）,2026-08-14
Fisfzy/ego-browser,verified_plugin,Native DSH plugin: package.json `dsh.client` field + peerDeps on @deepseek-ai/dsh-tools/cordis; README documents reproducible install and 13 ego_* tools.,"Drive ego-lite Chromium via 13 ego_* tools (semantic snapshot, click, fill, screenshot, CDP, task-space isolation) with a realtime observation overlay.",dshx install ego-browser ego-browser-plugin-0.2.0.tgz,MIT,high,Drives a real Chromium reusing the user's login state/cookies; runs in-page JS and raw CDP; spawns subprocesses and captures screenshots.,search_browser,"README (dshx install, 13 ego_* tools, observation front-end) + package.json `dsh.client.inject` field, peerDeps @deepseek-ai/dsh-tools/cordis.",2026-08-14
Fisfzy/zotero-harvest,verified_plugin,Native DSH plugin: dsh.plugin.json manifest + package.json engines.dsh; README documents 6 tools and reproducible install.,"Multi-source literature search (OpenAlex/arXiv/Crossref/Europe PMC/Semantic Scholar), OA download-link resolution (Unpaywall), sufficiency audit, save into local Zotero, and reindex hook.",dshx install zotero-harvest <plugin-dir>,MIT,medium,"Calls free public APIs, downloads PDFs, writes the local Zotero library directly (HTTP API / offline sqlite / inbox); optional Google Scholar HTML scrape via proxy and optional LIT_S2_API_KEY.",data_tools,"README (dshx install, 6 tools, save modes) + dsh.plugin.json manifest + package.json engines.dsh + peerDeps @deepseek-ai/dsh-tools/cordis.",2026-08-14
forrestchang/dsh-multica-runtime,verified_plugin,"Native DSH plugin: package.json `dsh.bundle.patch` -> cordis.patch.yml, and README documents `dsh plugin --profile multica add ...`.","Expose DSH as a versioned JSONL stdio runtime for Multica (model discovery, streaming events, cooperative cancellation, MCP translation).",dsh plugin --profile multica add /absolute/path/to/multica-dsh-runtime,Not found,medium,Reads DEEPSEEK_API_KEY via DSH credential provider at runtime; forwards a server-minted mat_ task token into a credential-scrubbed shell; disables DSH telemetry.,developer_tools,"README (`dsh plugin --profile multica add ...`, bundle patch) + package.json `dsh.bundle.patch` -> cordis.patch.yml; no LICENSE file or license field.",2026-08-14
fuhefei/dsh-sentinel,verified_plugin,"Native DSH plugin: README documents `dsh plugin --profile web add ""github:fuhefei/dsh-sentinel#main""` plus a cordis.patch.yml insert declaration.","Condition-driven wakeup via durable file/command/http/process/webhook watches that wake the agent, with dock card, sidebar branch, and global dashboard.","dsh plugin --profile web add ""github:fuhefei/dsh-sentinel#main""",BSD-3-Clause,high,Schedules read-only shell command probes and pgrep process matching; exposes an HTTP webhook endpoint accepting POSTs.,automation,"README (`dsh plugin --profile web add github:...` + cordis.patch.yml insert, sensors/tools/routes) + BSD-3-Clause LICENSE.",2026-08-14
gameswu/dsh-plugin-background,verified_plugin,Native DSH plugin: README documents `dsh plugin --profile web add ...` plus a cordis.patch.yml insert; package.json carries dsh.client metadata.,Per-region background images/videos (conversation / trajectory / sidebar / settings) for the DSH Web UI.,dsh plugin --profile web add <插件仓库根>/background,MIT,low,Client-only UI/skin; stores config in localStorage and image bytes in IndexedDB; no network or keys.,web_ui,"README (`dsh plugin --profile web add ...` + cordis.patch.yml insert, client bundle) + package.json dsh.client metadata.",2026-08-14
hikariming/dshfind,rejected,Stock create-next-app scaffold with no DSH plugin code or load path; DSH topics only.,,,Not found,low,N/A,uncategorized,README is the default Next.js create-next-app boilerplate; no DSH plugin or mount instruction.,2026-08-14
